/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/Oscar_tr49_PreAdapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/oscar_3_27_03_U17_5.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/Oscar_tr49_Adapt_BW5L_FW5R.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O89/O89_1LargeHor_c.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O89/O89_1adaptFE_b.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O89/O89_1pre_a.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O62/O62_1_FW5R_BW5L_A.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O62/O62_1_FW5L_BW5R_B.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O62/O62_1_pre.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O44/O44_1_FW5L_BW5R_Adapt.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O44/O44_1_PreAdapt.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O44/O44_1_FW7L_BW7R_Adapt.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O88/O88_1LFW5RBW5_c.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O88/O88_1LBW5RFW5_d.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O88/O88_1pre_a.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O88/O88_1LBW5RFW5_b.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O22/O22_2Adapt_BW5L_FW5LCFRDone.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O22/O22_2PreAdaptCFRDone.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O13/O13_3_adapt40pct.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O13/O13_3_adapt30pct.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O13/O13_3_preadapt.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O13/O13_3_adapt40pctB.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O60/O60_1_Preadapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O60/O60_1_FW5L_BW5R_B.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O60/O60_1_BW5L_FW5R_C.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O60/O60_1_FW5L_BW5R_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O60/O60_1_FW3L_BW3R_A.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O41/O41_1_FW5L_BW5R_A.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O41/O41_1_pre.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O83/O83_1_mix_N_FW5L_BW5R_A.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O26/O26_1Adapt_FW5R_BW5L.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O26/O26_1Adapt_FW5R_BW5L_AfterCellRIP_CFRonly.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O26/O26_1PreAdapt.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O29/O29_4Adapt_FW5L_BW5RCFR611sec.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O29/O29_4PreAdaptCFRDone.smr,HE,1,HT,2,VE,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O84/O84_1_FW5L_BW5R_D.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O84/O84_1_BW5L_FW5R_C.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O84/O83_1_mix_N_FW5L_BW5R_A.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O84/O84_1_BW5L_FW5R_E.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O84/O84_1_BW8L_FW5R_F.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O84/O84_1_FW5L_BW5R_B.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2006/Oscar/O84/O84_1_preadapt_A.smr,HE,5,VE,6,HE,7,VE,8
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.18/Wyatt25Unit_2008.11.18_1337_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.18/Wyatt25Unit_2008.11.18_1334_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.18/Wyatt25Unit_2008.11.18_1333_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.18/Wyatt25Unit_2008.11.18_1338_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.18/Wyatt25Unit_2008.11.18_1335_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1349_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1351_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1240_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1233_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1226_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1344_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1234_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1353_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1239_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1345_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1238_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1235_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1228_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1224_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.09.10/Wyatt25Unit_2008.09.10_1230_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1507_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1502_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1509_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1515_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1516_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1514_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1510_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1504_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1508_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_1/Wyatt25Unit_2008.12.09_1511_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.06/Wyatt25Unit_2008.11.06_1248_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.06/Wyatt25Unit_2008.11.06_1234_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.06/Wyatt25Unit_2008.11.06_1239_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.06/Wyatt25Unit_2008.11.06_1246_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.06/Wyatt25Unit_2008.11.06_1238_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.06/Wyatt25Unit_2008.11.06_1233_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.06/Wyatt25Unit_2008.11.06_1241_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.06/Wyatt25Unit_2008.11.06_1235_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.06/Wyatt25Unit_2008.11.06_1242_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1321_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1333_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1322_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1323_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1325_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1334_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1331_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1329_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1318_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.11.14/Wyatt25Unit_2008.11.14_1330_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_2/Wyatt25Unit_2008.12.09_1609_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_2/Wyatt25Unit_2008.12.09_1616_D.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_2/Wyatt25Unit_2008.12.09_1611_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_2/Wyatt25Unit_2008.12.09_1603_Adapt.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_2/Wyatt25Unit_2008.12.09_1608_T.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_2/Wyatt25Unit_2008.12.09_1606_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_2/Wyatt25Unit_2008.12.09_1613_Memory.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_2/Wyatt25Unit_2008.12.09_1617_Threespot.smr,HE,1,VE,2,HT,3,VT,4
/mnt/papers/Herzfeld_Nat_Neurosci_2018/raw_data/2010_5_types_of_saccades/Wyatt/Wyatt25Unit 2008.12.09_2/Wyatt25Unit_2008.12.09_1610_Threespot.smr,HE,1,VE,2,HT,3,VT,4
